Subject,Artist,Attributed,Enjoyment
157,Computer,Human,3.5
157,Human,Computer,7
158,Computer,Computer,6.9
158,Human,Human,9.3
158,Computer,Human,6.9
158,Human,Computer,7.9
159,Computer,Computer,5.9
159,Human,Human,5.4
159,Computer,Human,5.3
159,Human,Computer,6
160,Computer,Computer,5.9
160,Human,Human,7.8
160,Computer,Human,6.2
160,Human,Computer,9
161,Computer,Computer,5.7
161,Human,Human,7.7
161,Computer,Human,5.3
161,Human,Computer,6.2
162,Computer,Computer,4
162,Human,Human,6.4
162,Computer,Human,7.3
162,Human,Computer,6.9
163,Computer,Computer,3
163,Human,Human,5
163,Computer,Human,3.8
163,Human,Computer,3.9
164,Computer,Computer,6.3
164,Human,Human,7
164,Computer,Human,6.4
164,Human,Computer,6.7
165,Computer,Computer,4.8
165,Human,Human,7.7
165,Computer,Human,5.5
165,Human,Computer,6.9
166,Computer,Computer,3.8
166,Human,Human,5.4
166,Computer,Human,4.6
166,Human,Computer,6.7
167,Computer,Computer,6.1
167,Human,Human,7.9
167,Computer,Human,5.2
167,Human,Computer,7.7
168,Computer,Computer,5.8
168,Human,Human,6.6
168,Computer,Human,4.9
168,Human,Computer,5.8
169,Computer,Computer,0.9
169,Human,Human,2.2
169,Computer,Human,1.8
169,Human,Computer,2.8
170,Computer,Computer,6
170,Human,Human,5.4
170,Computer,Human,5.1
170,Human,Computer,6.9
171,Computer,Computer,5.4
171,Human,Human,6.6
171,Computer,Human,5.3
171,Human,Computer,5.3
172,Computer,Computer,5.9
172,Human,Human,7.3
172,Computer,Human,6.9
172,Human,Computer,6.6
173,Computer,Computer,3.7
173,Human,Human,6.1
173,Computer,Human,5.3
173,Human,Computer,5.8
174,Computer,Computer,6.1
174,Human,Human,7.1
174,Computer,Human,6.3
174,Human,Computer,6.1
175,Computer,Computer,1.9
175,Human,Human,7.3
175,Computer,Human,3.5
175,Human,Computer,8
176,Computer,Computer,2.8
176,Human,Human,5
176,Computer,Human,4.1
176,Human,Computer,4.1
177,Computer,Computer,2.4
177,Human,Human,3.4
177,Computer,Human,3.7
177,Human,Computer,3.5
178,Computer,Computer,4
178,Human,Human,7.2
178,Computer,Human,4.1
178,Human,Computer,6.4
179,Computer,Computer,5.1
179,Human,Human,6
179,Computer,Human,7
179,Human,Computer,7.2
180,Computer,Computer,4.4
180,Human,Human,6
180,Computer,Human,5.5
180,Human,Computer,5.6
181,Computer,Computer,6.2
181,Human,Human,9.5
181,Computer,Human,6.9
181,Human,Computer,7
182,Computer,Computer,5.8
182,Human,Human,5.1
182,Computer,Human,6
182,Human,Computer,4.1
183,Computer,Computer,4.3
183,Human,Human,6.3
183,Computer,Human,6
183,Human,Computer,3.6
184,Computer,Computer,0.6
184,Human,Human,4.1
